term,df,months,recent_df,recency,score,topic1,topic2,words,lang
접근성,84,19,72,0.857,22.435,frontier,norms,1,ko
있으나,82,18,74,0.902,22.404,safety_research,frontier,1,ko
에너지,92,18,78,0.848,22.398,national_security,law,1,ko
어려운,79,20,67,0.848,22.393,safety_research,frontier,1,ko
후속,75,21,63,0.84,22.382,safety_research,cybersecurity,1,ko
공급망,103,15,95,0.922,22.378,national_security,cybersecurity,1,ko
중단,90,18,77,0.856,22.373,frontier,cybersecurity,1,ko
방지,96,17,83,0.865,22.368,law,safety_research,1,ko
인재,81,21,65,0.802,22.366,law,norms,1,ko
모델 개발,79,18,72,0.911,22.31,frontier,cybersecurity,2,ko
줄이기,81,20,67,0.827,22.294,safety_research,frontier,1,ko
현황,85,23,61,0.718,22.283,law,guideline,1,ko
아닌,103,15,94,0.913,22.278,safety_research,agentic_ai,1,ko
트럼프,84,17,77,0.917,22.258,frontier,law,1,ko
지시,84,17,77,0.917,22.258,cybersecurity,frontier,1,ko
수행할,74,20,64,0.865,22.239,cybersecurity,agentic_ai,1,ko
신규,92,17,80,0.87,22.215,frontier,law,1,ko
파트너십,89,18,75,0.843,22.182,frontier,norms,1,ko
프로토콜,84,18,73,0.869,22.176,safety_research,agentic_ai,1,ko
악용,96,16,85,0.885,22.142,cybersecurity,frontier,1,ko
arxiv,126,12,123,0.976,22.129,safety_research,agentic_ai,1,en
기본,85,18,73,0.859,22.127,frontier,safety_research,1,ko
초안,83,18,72,0.867,22.1,law,guideline,1,ko
Office,78,21,62,0.795,22.095,law,guideline,1,en
공정성,78,19,67,0.859,22.085,norms,guideline,1,ko
Global,98,17,81,0.827,22.064,norms,law,1,en
차단,84,18,72,0.857,22.051,frontier,cybersecurity,1,ko
분석한,77,24,55,0.714,22.037,frontier,law,1,ko
쟁점,87,20,67,0.77,22.03,law,guideline,1,ko
출처,92,16,82,0.891,21.999,deepfake_disinfo,frontier,1,ko
연구 결과,72,26,50,0.694,21.997,frontier,agentic_ai,2,ko
경계,82,17,74,0.902,21.993,safety_research,agentic_ai,1,ko
Opus,87,17,76,0.874,21.985,frontier,safety_research,1,en
보이,100,17,81,0.81,21.983,safety_research,frontier,1,ko
공간,84,16,78,0.929,21.937,safety_research,frontier,1,ko
합성,95,15,87,0.916,21.927,safety_research,deepfake_disinfo,1,ko
Large Language,81,17,73,0.901,21.92,safety_research,cybersecurity,2,en
협업,81,20,64,0.79,21.897,frontier,agentic_ai,1,ko
어려움,67,20,59,0.881,21.896,law,safety_research,1,ko
범주,89,15,84,0.944,21.896,safety_research,law,1,ko
도메인,124,12,119,0.96,21.892,safety_research,agentic_ai,1,ko
수행하,80,18,69,0.863,21.867,agentic_ai,frontier,1,ko
유출,80,18,69,0.863,21.867,cybersecurity,agentic_ai,1,ko
활용될,88,18,72,0.818,21.867,guideline,safety_research,1,ko
인도,65,20,58,0.892,21.861,law,norms,1,ko
악성,80,17,72,0.9,21.847,cybersecurity,safety_research,1,ko
자율성,83,19,67,0.807,21.845,agentic_ai,cybersecurity,1,ko
요인,79,16,75,0.949,21.844,frontier,agentic_ai,1,ko
아키텍처,108,13,103,0.954,21.827,safety_research,agentic_ai,1,ko
K ctx,78,21,60,0.769,21.818,frontier,open_weight,2,en
강화하,78,19,65,0.833,21.816,law,frontier,1,ko
파일,76,18,67,0.882,21.81,cybersecurity,agentic_ai,1,ko
가능하게,76,19,64,0.842,21.779,agentic_ai,cybersecurity,1,ko
라는,72,20,60,0.833,21.771,frontier,safety_research,1,ko
해결,81,20,63,0.778,21.764,frontier,cybersecurity,1,ko
시도,78,20,62,0.795,21.762,cybersecurity,frontier,1,ko
시행일,108,13,102,0.944,21.735,frontier,law,1,ko
https,120,12,115,0.958,21.732,frontier,cybersecurity,1,en
내에서,77,19,64,0.831,21.73,frontier,law,1,ko
학습 데이터,70,20,59,0.843,21.729,law,safety_research,2,ko
표시,78,17,70,0.897,21.697,law,deepfake_disinfo,1,ko
경제적,78,19,64,0.821,21.682,frontier,law,1,ko
METR,78,28,46,0.59,21.655,frontier,agentic_ai,1,en
경고,99,14,91,0.919,21.642,cybersecurity,frontier,1,ko
ChatGPT,97,15,85,0.876,21.624,frontier,law,1,en
명의,79,16,73,0.924,21.593,frontier,safety_research,1,ko
권리,70,20,58,0.829,21.58,law,youth,1,ko
심각한,71,18,63,0.887,21.531,frontier,cybersecurity,1,ko
로봇,83,15,78,0.94,21.521,physical_ai,national_security,1,ko
메모리,74,17,67,0.905,21.518,agentic_ai,cybersecurity,1,ko
당국,80,18,66,0.825,21.479,law,cybersecurity,1,ko
단위,82,15,77,0.939,21.455,safety_research,frontier,1,ko
흐름,82,16,73,0.89,21.436,cybersecurity,frontier,1,ko
AISI,90,16,76,0.844,21.414,frontier,cybersecurity,1,en
등으,85,17,70,0.824,21.357,cybersecurity,frontier,1,ko
일관성,74,16,69,0.932,21.357,safety_research,frontier,1,ko
연구자들,70,25,47,0.671,21.348,frontier,safety_research,1,ko
반복,70,17,64,0.914,21.332,safety_research,agentic_ai,1,ko
안전하고,71,19,59,0.831,21.329,norms,guideline,1,ko
계정,87,15,78,0.897,21.318,frontier,cybersecurity,1,ko
부담,85,15,77,0.906,21.3,law,guideline,1,ko
위험 평가,74,21,55,0.743,21.281,law,frontier,2,ko
Meta,96,16,77,0.802,21.278,frontier,youth,1,en
com,89,14,83,0.933,21.277,frontier,cybersecurity,1,en
허위,88,15,78,0.886,21.27,deepfake_disinfo,law,1,ko
사용해,79,15,74,0.937,21.254,safety_research,law,1,ko
NIST,74,17,65,0.878,21.248,standards,law,1,en
별도,72,17,64,0.889,21.22,cybersecurity,law,1,ko
LLMs,82,15,75,0.915,21.216,safety_research,cybersecurity,1,en
정확도,103,13,94,0.913,21.205,safety_research,frontier,1,ko
승인,92,15,79,0.859,21.2,law,agentic_ai,1,ko
최첨단,69,22,51,0.739,21.198,frontier,cybersecurity,1,ko
취약성,80,16,70,0.875,21.166,safety_research,cybersecurity,1,ko
지속적인,81,17,67,0.827,21.166,cybersecurity,frontier,1,ko
GPU,70,18,60,0.857,21.158,cybersecurity,frontier,1,en
명시적,83,16,71,0.855,21.144,safety_research,frontier,1,ko
유럽연합 집행위원회,67,21,52,0.776,21.141,law,guideline,2,ko
하고,72,19,58,0.806,21.136,law,cybersecurity,1,ko
일자리,79,17,66,0.835,21.131,frontier,law,1,ko
추적,74,16,67,0.905,21.093,cybersecurity,frontier,1,ko
초래할,67,19,56,0.836,21.093,law,national_security,1,ko
건의,73,19,58,0.795,21.089,frontier,law,1,ko
위험 관리,59,20,51,0.864,21.085,law,frontier,2,ko
줄이고,65,21,51,0.785,21.079,law,guideline,1,ko
변경,65,20,53,0.815,21.076,law,guideline,1,ko
탐색,72,16,66,0.917,21.07,cybersecurity,safety_research,1,ko
European,90,14,81,0.9,21.011,law,cybersecurity,1,en
평가하고,66,19,55,0.833,20.994,safety_research,frontier,1,ko
평가 결과,63,22,48,0.762,20.988,frontier,cybersecurity,2,ko
거의,74,17,63,0.851,20.978,frontier,safety_research,1,ko
Report,74,18,60,0.811,20.959,frontier,law,1,en
맞춤형,63,18,56,0.889,20.954,law,cybersecurity,1,ko
없어,89,14,80,0.899,20.948,frontier,law,1,ko
정치적,66,18,57,0.864,20.934,politics,norms,1,ko
채택,75,17,63,0.84,20.929,frontier,law,1,ko
jailbreak,98,12,95,0.969,20.927,safety_research,cybersecurity,1,en
가이드,72,18,59,0.819,20.915,guideline,safety_research,1,ko
항목,65,17,59,0.908,20.903,safety_research,frontier,1,ko
소개,62,19,53,0.855,20.9,law,standards,1,ko
모델 성능,64,18,56,0.875,20.895,safety_research,frontier,2,ko
공개된,65,19,54,0.831,20.893,frontier,cybersecurity,1,ko
언어모델,88,14,79,0.898,20.885,safety_research,frontier,1,ko
위원회,67,18,57,0.851,20.88,law,guideline,1,ko
취지,77,15,70,0.909,20.864,frontier,law,1,ko
유해,102,12,96,0.941,20.839,safety_research,frontier,1,ko
샌드박스,68,18,57,0.838,20.827,law,cybersecurity,1,ko
고객,73,15,68,0.932,20.826,frontier,cybersecurity,1,ko
등에서,82,16,68,0.829,20.825,frontier,cybersecurity,1,ko
노력,63,22,47,0.746,20.823,cybersecurity,frontier,1,ko
법원,88,13,83,0.943,20.784,law,frontier,1,ko
조항,83,16,68,0.819,20.781,law,youth,1,ko
효과적인,69,18,57,0.826,20.777,law,safety_research,1,ko
Institute,81,19,58,0.716,20.764,frontier,norms,1,en
통신,72,15,67,0.931,20.751,cybersecurity,agentic_ai,1,ko
control,73,16,64,0.877,20.747,safety_research,frontier,1,en
생산성,79,18,60,0.759,20.742,frontier,deepfake_disinfo,1,ko
범용,67,24,44,0.657,20.718,law,guideline,1,ko
의도,75,15,68,0.907,20.717,agentic_ai,cybersecurity,1,ko
주권,80,14,74,0.925,20.707,sovereign_ai,norms,1,ko
주체,66,17,58,0.879,20.697,agentic_ai,law,1,ko
결론,69,16,62,0.899,20.69,frontier,national_security,1,ko
사기,76,19,56,0.737,20.684,deepfake_disinfo,cybersecurity,1,ko
관련된,67,20,51,0.761,20.669,frontier,law,1,ko
높이,72,17,60,0.833,20.668,safety_research,frontier,1,ko
월부터,64,17,57,0.891,20.662,law,frontier,1,ko
답변,75,17,61,0.813,20.662,frontier,safety_research,1,ko
학계,64,19,52,0.812,20.634,law,norms,1,ko
커뮤니티,70,17,59,0.843,20.628,frontier,safety_research,1,ko
가짜,73,16,63,0.863,20.613,deepfake_disinfo,cybersecurity,1,ko
국가안보,77,15,68,0.883,20.613,national_security,frontier,1,ko
프론티어,85,13,80,0.941,20.606,frontier,cybersecurity,1,ko
수립,65,20,50,0.769,20.605,law,guideline,1,ko
스타트업,61,18,53,0.869,20.599,law,frontier,1,ko
regulation,71,16,62,0.873,20.581,law,norms,1,en
동의,69,16,61,0.884,20.55,law,frontier,1,ko
현장,74,14,70,0.946,20.54,physical_ai,norms,1,ko
위험한,65,25,41,0.631,20.538,frontier,safety_research,1,ko
호주,81,14,73,0.901,20.538,law,guideline,1,ko
Pro,80,13,77,0.963,20.527,frontier,safety_research,1,en
리스크,79,15,68,0.861,20.516,cybersecurity,frontier,1,ko
예를,60,21,46,0.767,20.5,frontier,cybersecurity,1,ko
제시하고,65,16,59,0.908,20.49,safety_research,agentic_ai,1,ko
context,72,15,65,0.903,20.487,frontier,open_weight,1,en
규범,59,23,42,0.712,20.422,norms,law,1,ko
연계,80,13,76,0.95,20.411,cybersecurity,frontier,1,ko
무단,74,15,65,0.878,20.382,frontier,cybersecurity,1,ko
공통,77,15,66,0.857,20.362,norms,safety_research,1,ko
시뮬레이션,78,14,70,0.897,20.328,agentic_ai,cybersecurity,1,ko
회원국,59,22,43,0.729,20.323,law,cybersecurity,1,ko
Sonnet,67,25,40,0.597,20.314,frontier,safety_research,1,en
파이프라인,90,12,85,0.944,20.312,safety_research,agentic_ai,1,ko
제한적,73,15,64,0.877,20.303,frontier,law,1,ko
요건,64,18,52,0.812,20.281,law,guideline,1,ko
개인정보 보호,61,16,56,0.918,20.281,law,agentic_ai,2,ko
뉴스,76,13,73,0.961,20.272,cybersecurity,law,1,ko
최고,69,17,56,0.812,20.253,frontier,safety_research,1,ko
빠른,57,19,47,0.825,20.188,frontier,safety_research,1,ko
에이전틱,69,14,65,0.942,20.176,agentic_ai,cybersecurity,1,ko
행정,63,18,51,0.81,20.176,law,guideline,1,ko
대통령,60,18,50,0.833,20.174,law,frontier,1,ko
도전,56,21,43,0.768,20.174,norms,frontier,1,ko
human,71,16,59,0.831,20.172,safety_research,frontier,1,en
거부,63,16,56,0.889,20.162,safety_research,frontier,1,ko
입법,63,22,43,0.683,20.16,law,deepfake_disinfo,1,ko
Index,57,17,51,0.895,20.137,frontier,law,1,en
모드,60,17,52,0.867,20.12,frontier,safety_research,1,ko
사용할,63,17,53,0.841,20.111,agentic_ai,frontier,1,ko
강한,64,16,56,0.875,20.106,safety_research,frontier,1,ko
멀티모달,68,14,64,0.941,20.1,safety_research,agentic_ai,1,ko
시험,64,17,53,0.828,20.059,frontier,cybersecurity,1,ko
성적,84,14,70,0.833,20.052,youth,law,1,ko
없음,78,13,72,0.923,20.047,frontier,cybersecurity,1,ko
가드레일,68,16,57,0.838,20.041,safety_research,agentic_ai,1,ko
못하,68,15,60,0.882,20.026,safety_research,agentic_ai,1,ko
상대적,63,18,50,0.794,20.021,frontier,law,1,ko
장기,81,12,78,0.963,20.011,frontier,agentic_ai,1,ko
Newsletter,58,16,53,0.914,19.998,law,guideline,1,en
주도,61,19,47,0.77,19.985,norms,cybersecurity,1,ko
청소년,64,15,58,0.906,19.965,youth,frontier,1,ko
상대,73,14,65,0.89,19.958,law,frontier,1,ko
메타,80,13,72,0.9,19.947,frontier,law,1,ko
명이,52,19,44,0.846,19.945,norms,law,1,ko
집단,59,16,53,0.898,19.937,frontier,law,1,ko
행정부,58,17,50,0.862,19.914,frontier,law,1,ko
Risks,74,14,65,0.878,19.908,frontier,cybersecurity,1,en
딥마인드,68,15,59,0.868,19.888,frontier,agentic_ai,1,ko
국민,55,16,51,0.927,19.865,law,national_security,1,ko
장기적,59,17,50,0.847,19.857,frontier,cybersecurity,1,ko
직원,59,17,50,0.847,19.857,frontier,law,1,ko
선호,60,18,48,0.8,19.851,safety_research,frontier,1,ko
실험 결과,60,18,48,0.8,19.851,safety_research,frontier,2,ko
대학,58,16,52,0.897,19.838,law,frontier,1,ko
점검,80,13,71,0.887,19.831,cybersecurity,safety_research,1,ko
적대적,71,13,67,0.944,19.807,safety_research,cybersecurity,1,ko
정확성,67,16,55,0.821,19.806,law,guideline,1,ko
음성,81,13,71,0.877,19.785,deepfake_disinfo,law,1,ko
맞춘,59,16,52,0.881,19.779,law,frontier,1,ko
구축하고,48,22,37,0.771,19.728,cybersecurity,physical_ai,1,ko
장치,65,14,60,0.923,19.724,safety_research,cybersecurity,1,ko
인지,65,14,60,0.923,19.724,frontier,safety_research,1,ko
엄격한,70,14,62,0.886,19.723,frontier,safety_research,1,ko
두고,66,15,57,0.864,19.712,law,frontier,1,ko
권고,68,14,61,0.897,19.695,guideline,law,1,ko
국가 전략,196,7,194,0.99,19.685,safety_research,guideline,2,ko
못한,55,21,40,0.727,19.682,cybersecurity,frontier,1,ko
관련해,57,18,46,0.807,19.675,frontier,law,1,ko
자발적,61,16,52,0.852,19.667,law,guideline,1,ko
센터,54,18,45,0.833,19.666,frontier,cybersecurity,1,ko
년까지,56,16,50,0.893,19.637,frontier,norms,1,ko
시작,57,15,53,0.93,19.632,law,frontier,1,ko
성능 향상,48,19,41,0.854,19.626,safety_research,frontier,2,ko
맞춰,68,16,54,0.794,19.617,safety_research,frontier,1,ko
의회,67,14,60,0.896,19.613,law,frontier,1,ko
진전,49,25,33,0.673,19.613,safety_research,frontier,1,ko
예시,55,18,45,0.818,19.61,guideline,safety_research,1,ko
특징,55,19,43,0.782,19.601,safety_research,frontier,1,ko
원인,73,13,66,0.904,19.574,safety_research,cybersecurity,1,ko
안정성,66,13,63,0.955,19.57,safety_research,agentic_ai,1,ko
심사,59,17,48,0.814,19.536,law,guideline,1,ko
Introducing,55,16,49,0.891,19.533,frontier,safety_research,1,en
우선,66,14,59,0.894,19.53,cybersecurity,frontier,1,ko
포함해,58,16,50,0.862,19.52,safety_research,law,1,ko
Technology,58,16,50,0.862,19.52,frontier,cybersecurity,1,en
담은,61,16,51,0.836,19.514,law,guideline,1,ko
명령,59,15,53,0.898,19.51,cybersecurity,frontier,1,ko
않으,59,15,53,0.898,19.51,law,safety_research,1,ko
커지고,51,18,43,0.843,19.482,cybersecurity,frontier,1,ko
수치,94,10,92,0.979,19.47,safety_research,frontier,1,ko
세션,60,15,53,0.883,19.452,agentic_ai,safety_research,1,ko
OECD,51,19,41,0.804,19.45,norms,guideline,1,en
행사,61,17,48,0.787,19.438,norms,guideline,1,ko
발생하,66,13,62,0.939,19.436,safety_research,agentic_ai,1,ko
분포,66,13,62,0.939,19.436,safety_research,frontier,1,ko
전반적,54,16,48,0.889,19.427,frontier,safety_research,1,ko
자금,55,17,46,0.836,19.419,frontier,cybersecurity,1,ko
National,60,16,50,0.833,19.412,national_security,frontier,1,en
공백,69,13,63,0.913,19.402,law,frontier,1,ko
자사,74,13,65,0.878,19.401,frontier,law,1,ko
마련하고,49,21,37,0.755,19.397,law,guideline,1,ko
만든,56,15,51,0.911,19.377,deepfake_disinfo,law,1,ko
여전히,55,16,48,0.873,19.367,safety_research,frontier,1,ko
지원하고,50,17,44,0.88,19.365,cybersecurity,frontier,1,ko
설립,61,16,50,0.82,19.361,law,frontier,1,ko
서로,72,12,68,0.944,19.32,safety_research,frontier,1,ko
제작,56,16,48,0.857,19.31,law,deepfake_disinfo,1,ko
실질적인,52,15,49,0.942,19.306,law,frontier,1,ko
Closed,51,17,44,0.863,19.303,frontier,safety_research,1,en
표준화,60,15,52,0.867,19.3,standards,agentic_ai,1,ko
시민,60,15,52,0.867,19.3,law,deepfake_disinfo,1,ko
기여할,54,19,41,0.759,19.297,frontier,norms,1,ko
실증,60,14,55,0.917,19.296,law,physical_ai,1,ko
지연,60,14,55,0.917,19.296,law,safety_research,1,ko
독립적인,51,16,46,0.902,19.272,law,cybersecurity,1,ko
의존,88,11,80,0.909,19.266,safety_research,frontier,1,ko
대형 언어,55,18,43,0.782,19.266,safety_research,frontier,2,ko
있을,51,19,40,0.784,19.264,frontier,cybersecurity,1,ko
엔지니어링,52,21,37,0.712,19.258,cybersecurity,frontier,1,ko
하지,58,15,51,0.879,19.258,frontier,law,1,ko
명확한,57,16,48,0.842,19.254,law,cybersecurity,1,ko
제재,66,14,57,0.864,19.254,law,frontier,1,ko
중인,55,19,41,0.745,19.25,frontier,law,1,ko
각국,50,20,38,0.76,19.249,norms,law,1,ko
막기,69,14,58,0.841,19.242,frontier,safety_research,1,ko
의해,69,12,66,0.957,19.236,safety_research,frontier,1,ko
URL,56,17,45,0.804,19.198,frontier,cybersecurity,1,en
제안하고,63,13,59,0.937,19.198,safety_research,agentic_ai,1,ko
Science,53,17,44,0.83,19.187,frontier,agentic_ai,1,en
결과적,62,14,55,0.887,19.182,safety_research,frontier,1,ko
Commission,90,11,80,0.889,19.18,law,guideline,1,en
Microsoft,57,14,53,0.93,19.175,frontier,cybersecurity,1,en
데이터 기반,50,18,41,0.82,19.172,law,guideline,2,ko
과거,65,14,56,0.862,19.166,frontier,cybersecurity,1,ko
도구 사용,57,15,50,0.877,19.158,agentic_ai,frontier,2,ko
제한된,57,15,50,0.877,19.158,cybersecurity,frontier,1,ko
채용,52,20,38,0.731,19.154,law,frontier,1,ko
인류,53,16,46,0.868,19.149,norms,frontier,1,ko
번째,53,16,46,0.868,19.149,law,frontier,1,ko
불일치,64,13,59,0.922,19.141,safety_research,cybersecurity,1,ko
강화할,55,15,49,0.891,19.115,frontier,cybersecurity,1,ko
만들,51,21,36,0.706,19.11,agentic_ai,safety_research,1,ko
training,51,16,45,0.882,19.097,frontier,safety_research,1,en
나타나,61,14,54,0.885,19.092,safety_research,frontier,1,ko
배경,54,16,46,0.852,19.091,frontier,law,1,ko
적절한,54,20,38,0.704,19.069,guideline,safety_research,1,ko
임상,61,13,57,0.934,19.034,healthcare,safety_research,1,ko
학생,65,16,49,0.754,19.029,frontier,cybersecurity,1,ko
활용하,54,15,48,0.889,19.012,cybersecurity,frontier,1,ko
Future,60,15,50,0.833,18.996,norms,law,1,en
높이고,49,19,38,0.776,18.99,frontier,cybersecurity,1,ko
비전,55,14,51,0.927,18.987,safety_research,frontier,1,ko
범죄,57,17,44,0.772,18.984,deepfake_disinfo,law,1,ko
Action,70,16,50,0.714,18.978,law,cybersecurity,1,en
분석 결과,53,16,45,0.849,18.978,frontier,cybersecurity,2,ko
파라미터,62,13,57,0.919,18.976,safety_research,open_weight,1,ko
대중,52,15,47,0.904,18.968,frontier,law,1,ko
개별,47,18,39,0.83,18.965,safety_research,law,1,ko
파트너,65,12,62,0.954,18.946,cybersecurity,frontier,1,ko
높일,61,14,53,0.869,18.945,safety_research,guideline,1,ko
워크숍,50,19,38,0.76,18.94,safety_research,guideline,1,ko
컴퓨터,55,17,43,0.782,18.912,frontier,cybersecurity,1,ko
완전히,48,18,39,0.812,18.908,safety_research,frontier,1,ko
편집,53,15,47,0.887,18.906,frontier,safety_research,1,ko
양성,55,16,45,0.818,18.87,law,norms,1,ko
CEO,57,14,51,0.895,18.867,frontier,law,1,en
관행,54,15,47,0.87,18.847,law,guideline,1,ko
영향력,53,18,40,0.755,18.837,national_security,law,1,ko
준비,65,13,57,0.877,18.813,norms,frontier,1,ko
걸쳐,47,16,42,0.894,18.809,safety_research,frontier,1,ko
줄이,53,16,44,0.83,18.808,safety_research,national_security,1,ko
공고,52,15,46,0.885,18.798,cybersecurity,law,1,ko
가설,48,24,30,0.625,18.791,safety_research,agentic_ai,1,ko
개발하고,54,17,42,0.778,18.79,frontier,cybersecurity,1,ko
구글 딥마인드,55,15,47,0.855,18.79,frontier,agentic_ai,2,ko
